epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.1875,,1.6355634927749634
0,9,,0.21875,,1.56974196434021
0,14,,0.34375,,1.5687286853790283
0,19,,0.3125,,1.5764641761779785
0,24,,0.3125,,1.5475029945373535
0,29,,0.4375,,1.5372669696807861
0,34,,0.53125,,1.4761054515838623
0,39,,0.46875,,1.478750467300415
0,44,,0.5625,,1.433051347732544
0,49,,0.40625,,1.4627543687820435
0,54,,0.34375,,1.4766178131103516
0,59,,0.5625,,1.3396263122558594
0,62,0.38850000500679016,,1.5135884284973145,
1,64,,0.6875,,1.2772295475006104
1,69,,0.65625,,1.2679165601730347
1,74,,0.5625,,1.2785444259643555
1,79,,0.6875,,1.1330676078796387
1,84,,0.6875,,1.08203125
1,89,,0.6875,,1.0608381032943726
1,94,,0.71875,,0.892695426940918
1,99,,0.6875,,1.094991683959961
1,104,,0.78125,,0.909510612487793
1,109,,0.625,,0.9782425165176392
1,114,,0.8125,,0.7627606391906738
1,119,,0.78125,,0.8051682114601135
1,124,,0.65625,,0.9048731923103333
1,125,0.7064999938011169,,1.0337005853652954,
2,129,,0.78125,,0.7655763626098633
2,134,,0.875,,0.6604632139205933
2,139,,0.84375,,0.5517271757125854
2,144,,0.84375,,0.4976328909397125
2,149,,0.875,,0.635350227355957
2,154,,0.78125,,0.6627724170684814
2,159,,0.9375,,0.4511604309082031
2,164,,0.71875,,0.7058342695236206
2,169,,0.78125,,0.5685833692550659
2,174,,0.71875,,0.8895633816719055
2,179,,0.8125,,0.6133533120155334
2,184,,0.90625,,0.41397517919540405
2,188,0.815500020980835,,0.643153190612793,
3,189,,0.875,,0.5180339813232422
3,194,,0.84375,,0.49073323607444763
3,199,,0.84375,,0.5247631072998047
3,204,,0.84375,,0.5390280485153198
3,209,,0.78125,,0.8253058791160583
3,214,,0.78125,,0.4503103792667389
3,219,,0.65625,,0.779597282409668
3,224,,0.8125,,0.688164472579956
3,229,,0.96875,,0.34354090690612793
3,234,,0.8125,,0.732142448425293
3,239,,0.8125,,0.5379246473312378
3,244,,0.8125,,0.4784533679485321
3,249,,0.75,,0.6793738603591919
