epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.1875,,1.6143566370010376
0,9,,0.21875,,1.5993027687072754
0,14,,0.3125,,1.57413911819458
0,19,,0.40625,,1.5701379776000977
0,24,,0.34375,,1.5445010662078857
0,29,,0.28125,,1.559343695640564
0,34,,0.59375,,1.5153571367263794
0,39,,0.40625,,1.4925885200500488
0,44,,0.625,,1.4387625455856323
0,49,,0.46875,,1.4025084972381592
0,54,,0.5625,,1.393080711364746
0,59,,0.71875,,1.3339436054229736
0,62,0.390500009059906,,1.5151029825210571,
1,64,,0.5,,1.3264636993408203
1,69,,0.71875,,1.1907527446746826
1,74,,0.59375,,1.1788889169692993
1,79,,0.6875,,1.051743984222412
1,84,,0.46875,,1.1998462677001953
1,89,,0.78125,,1.0301886796951294
1,94,,0.875,,0.9470729827880859
1,99,,0.75,,0.9508002996444702
1,104,,0.59375,,1.0052053928375244
1,109,,0.65625,,0.9216204881668091
1,114,,0.65625,,0.9286203384399414
1,119,,0.6875,,0.8804053068161011
1,124,,0.6875,,0.885840892791748
1,125,0.6704999804496765,,1.0504194498062134,
2,129,,0.75,,0.7162944078445435
2,134,,0.65625,,0.7917320728302002
2,139,,0.84375,,0.5682874917984009
2,144,,0.78125,,0.556894063949585
2,149,,0.90625,,0.6008938550949097
2,154,,0.78125,,0.6706318855285645
2,159,,0.84375,,0.444021999835968
2,164,,0.75,,0.7339906096458435
2,169,,0.75,,0.6754641532897949
2,174,,0.84375,,0.7485066652297974
2,179,,0.875,,0.5097998380661011
2,184,,0.90625,,0.4927828311920166
2,188,0.8034999966621399,,0.6571950912475586,
3,189,,0.84375,,0.5831076502799988
3,194,,0.84375,,0.44766753911972046
3,199,,0.9375,,0.3871626853942871
3,204,,0.84375,,0.4887930750846863
3,209,,0.71875,,0.9310569763183594
3,214,,0.8125,,0.5239603519439697
3,219,,0.75,,0.7122796177864075
3,224,,0.90625,,0.6188288331031799
3,229,,0.875,,0.36295464634895325
3,234,,0.75,,0.7286216616630554
3,239,,0.875,,0.5299230217933655
3,244,,0.875,,0.39441508054733276
3,249,,0.90625,,0.51495760679245
3,251,0.8610000014305115,,0.5083520412445068,
4,254,,0.90625,,0.5724015235900879
4,259,,0.96875,,0.3668869733810425
4,264,,0.875,,0.6699327826499939
4,269,,0.84375,,0.7874137759208679
4,274,,0.84375,,0.7829829454421997
4,279,,0.875,,0.41014590859413147
4,284,,0.9375,,0.23809167742729187
4,289,,0.875,,0.3720009922981262
4,294,,0.875,,0.43138253688812256
4,299,,0.84375,,0.4008350968360901
4,304,,0.90625,,0.49942219257354736
4,309,,0.90625,,0.4320390820503235
4,314,,0.875,,0.7721495628356934
4,314,0.8765000104904175,,0.4556816518306732,
5,319,,0.96875,,0.4141765236854553
5,324,,0.96875,,0.30133405327796936
5,329,,0.9375,,0.245896577835083
5,334,,0.96875,,0.3170018792152405
5,339,,0.8125,,0.887452244758606
5,344,,0.84375,,0.3499452471733093
5,349,,0.90625,,0.40319615602493286
5,354,,0.9375,,0.25089892745018005
5,359,,0.90625,,0.392879843711853
5,364,,0.9375,,0.22232870757579803
5,369,,0.84375,,0.7851885557174683
5,374,,1.0,,0.18554215133190155
5,377,0.8884999752044678,,0.4202752709388733,
6,379,,0.9375,,0.4035457372665405
6,384,,0.875,,0.6817843914031982
6,389,,0.96875,,0.33018621802330017
6,394,,0.90625,,0.6078411340713501
6,399,,1.0,,0.2062755823135376
6,404,,0.875,,0.5906637907028198
6,409,,0.9375,,0.22796019911766052
6,414,,0.9375,,0.6994202136993408
6,419,,0.96875,,0.2328062802553177
6,424,,0.875,,0.3884775638580322
6,429,,0.90625,,0.32354918122291565
6,434,,0.90625,,0.3838573396205902
6,439,,0.90625,,0.4051385521888733
6,440,0.8989999890327454,,0.3949149549007416,
7,444,,0.9375,,0.36209383606910706
7,449,,0.875,,0.3544529974460602
7,454,,0.90625,,0.2974212169647217
7,459,,0.90625,,0.5592527389526367
7,464,,0.96875,,0.23023873567581177
7,469,,0.84375,,0.8186646699905396
7,474,,0.9375,,0.21520549058914185
7,479,,0.96875,,0.15523649752140045
7,484,,0.90625,,0.38599446415901184
7,489,,0.875,,0.4290604591369629
7,494,,0.90625,,0.23071250319480896
7,499,,0.96875,,0.23939955234527588
7,503,0.9114999771118164,,0.36437442898750305,
8,504,,0.9375,,0.21075333654880524
8,509,,0.96875,,0.156587153673172
8,514,,0.9375,,0.36163175106048584
8,519,,0.875,,0.5842830538749695
8,524,,0.875,,0.5385981202125549
8,529,,0.96875,,0.1857326328754425
8,534,,0.96875,,0.1960458755493164
8,539,,1.0,,0.1487928330898285
8,544,,0.96875,,0.21017542481422424
8,549,,0.96875,,0.4705159068107605
8,554,,0.9375,,0.5714908242225647
8,559,,0.8125,,0.6855852603912354
8,564,,0.9375,,0.2556312382221222
8,566,0.9169999957084656,,0.3379744291305542,
9,569,,1.0,,0.1492428183555603
9,574,,0.9375,,0.2720605134963989
9,579,,0.96875,,0.24650903046131134
9,584,,0.875,,0.7628109455108643
9,589,,0.9375,,0.12192428112030029
9,594,,0.9375,,0.21380460262298584
9,599,,0.9375,,0.3072185516357422
9,604,,1.0,,0.14960214495658875
9,609,,0.875,,0.4644828140735626
9,614,,0.9375,,0.18948689103126526
9,619,,0.84375,,0.5151206851005554
9,624,,0.875,,0.29687926173210144
9,629,,0.9375,,0.25000065565109253
9,629,0.921999990940094,,0.31172603368759155,
