epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,4,,0.21875,,1.6090210676193237
0,9,,0.5,,1.5576696395874023
0,14,,0.375,,1.5779390335083008
0,19,,0.375,,1.5818374156951904
0,24,,0.40625,,1.5338877439498901
0,29,,0.28125,,1.5604087114334106
0,34,,0.4375,,1.488389015197754
0,39,,0.5,,1.4332025051116943
0,44,,0.65625,,1.4146759510040283
0,49,,0.5,,1.448522686958313
0,54,,0.5,,1.3888404369354248
0,59,,0.5,,1.3516900539398193
0,62,0.4124999940395355,,1.5058614015579224,
1,64,,0.59375,,1.270646572113037
1,69,,0.71875,,1.19767427444458
1,74,,0.59375,,1.2563843727111816
1,79,,0.8125,,1.1386030912399292
1,84,,0.75,,1.0392286777496338
1,89,,0.6875,,1.0415209531784058
1,94,,0.8125,,0.9256021976470947
1,99,,0.71875,,1.041330099105835
1,104,,0.6875,,0.9787807464599609
1,109,,0.6875,,0.8889350891113281
1,114,,0.78125,,0.7854807376861572
1,119,,0.625,,0.950522780418396
1,124,,0.75,,0.8991442918777466
1,125,0.7024999856948853,,1.0268642902374268,
2,129,,0.75,,0.6890597343444824
2,134,,0.71875,,0.7939466238021851
2,139,,0.90625,,0.5034281015396118
2,144,,0.75,,0.5661153793334961
2,149,,0.8125,,0.6344122886657715
2,154,,0.84375,,0.5145944952964783
2,159,,0.875,,0.4356948733329773
2,164,,0.78125,,0.6942447423934937
2,169,,0.8125,,0.7307455539703369
2,174,,0.8125,,0.8018861413002014
2,179,,0.84375,,0.5053063631057739
2,184,,0.90625,,0.40904945135116577
2,188,0.8149999976158142,,0.6270077228546143,
3,189,,0.84375,,0.6371088027954102
3,194,,0.84375,,0.501620888710022
3,199,,0.8125,,0.5174196362495422
3,204,,0.78125,,0.531721293926239
3,209,,0.78125,,0.7895035743713379
3,214,,0.8125,,0.5634366869926453
3,219,,0.8125,,0.679033100605011
3,224,,0.875,,0.6047564744949341
3,229,,0.96875,,0.2770640254020691
3,234,,0.84375,,0.6636937856674194
3,239,,0.78125,,0.5727978944778442
3,244,,0.90625,,0.3772439658641815
3,249,,0.875,,0.5258927345275879
3,251,0.8694999814033508,,0.5016368627548218,
4,254,,0.90625,,0.5487349033355713
4,259,,0.875,,0.36258330941200256
4,264,,0.8125,,0.7737799882888794
4,269,,0.84375,,0.6639407277107239
4,274,,0.8125,,0.787192702293396
4,279,,0.875,,0.4211304485797882
4,284,,0.96875,,0.2692233920097351
4,289,,0.90625,,0.3780050277709961
4,294,,0.875,,0.5000073909759521
4,299,,0.84375,,0.3984857499599457
4,304,,0.90625,,0.4681844711303711
4,309,,0.90625,,0.42813509702682495
4,314,,0.8125,,0.8351150751113892
4,314,0.8799999952316284,,0.4521383047103882,
5,319,,0.96875,,0.35455483198165894
5,324,,0.84375,,0.47084808349609375
5,329,,1.0,,0.17913776636123657
5,334,,0.90625,,0.4235910177230835
5,339,,0.84375,,0.6380437612533569
5,344,,0.9375,,0.3219952881336212
5,349,,0.84375,,0.3463885486125946
5,354,,0.96875,,0.2588309049606323
5,359,,0.875,,0.4383576512336731
5,364,,0.9375,,0.1681438833475113
5,369,,0.90625,,0.6427047252655029
5,374,,0.90625,,0.24985527992248535
5,377,0.9004999995231628,,0.4021174907684326,
6,379,,0.96875,,0.3717040419578552
6,384,,0.90625,,0.4699837863445282
6,389,,0.96875,,0.3049755096435547
6,394,,0.8125,,0.5956006050109863
6,399,,0.9375,,0.3087646961212158
6,404,,0.875,,0.37543150782585144
6,409,,0.9375,,0.21985849738121033
6,414,,0.90625,,0.8062267303466797
6,419,,0.96875,,0.2051180601119995
6,424,,0.90625,,0.3520294725894928
6,429,,0.84375,,0.34924253821372986
6,434,,0.84375,,0.49499762058258057
6,439,,0.8125,,0.5126650929450989
6,440,0.9104999899864197,,0.37519973516464233,
7,444,,0.90625,,0.38706958293914795
7,449,,0.90625,,0.3483225703239441
7,454,,0.96875,,0.24282994866371155
7,459,,0.9375,,0.5668383836746216
7,464,,1.0,,0.17603576183319092
7,469,,0.78125,,0.9539378881454468
7,474,,0.90625,,0.2870110869407654
7,479,,0.9375,,0.16373798251152039
7,484,,0.9375,,0.4322328567504883
7,489,,0.90625,,0.44244223833084106
7,494,,0.9375,,0.25140535831451416
7,499,,0.96875,,0.26180586218833923
7,503,0.9129999876022339,,0.3587043881416321,
8,504,,0.96875,,0.16185003519058228
8,509,,1.0,,0.12252961099147797
8,514,,0.9375,,0.382147878408432
8,519,,0.875,,0.44593584537506104
8,524,,0.90625,,0.6499892473220825
8,529,,1.0,,0.116316057741642
8,534,,1.0,,0.18070226907730103
8,539,,1.0,,0.1411866545677185
8,544,,0.9375,,0.16722546517848969
8,549,,0.96875,,0.49096399545669556
8,554,,0.9375,,0.5785515308380127
8,559,,0.90625,,0.5458647012710571
8,564,,0.9375,,0.26778969168663025
8,566,0.9259999990463257,,0.336311012506485,
9,569,,0.96875,,0.1841629445552826
9,574,,0.96875,,0.2506677508354187
9,579,,0.9375,,0.1897713541984558
9,584,,0.84375,,0.7275046706199646
9,589,,1.0,,0.1112113893032074
9,594,,0.96875,,0.22070717811584473
9,599,,0.90625,,0.33089786767959595
9,604,,0.90625,,0.18372096121311188
9,609,,0.84375,,0.5619488954544067
9,614,,0.96875,,0.11892857402563095
9,619,,0.90625,,0.577538013458252
9,624,,0.875,,0.3547222912311554
9,629,,1.0,,0.09068308025598526
9,629,0.9315000176429749,,0.31476253271102905,
